Date,int,prc,mom,hlv,vol,R^2,s_size
2013-01-29,-0.06858668,0.00626761,0.00000614,0.02209960,0.01734931,1.00000000,4
2013-01-30,0.00019365,-0.00029110,-0.00001199,0.00050631,0.00018519,1.00000000,4
2013-01-31,0.00190626,-0.00096081,-0.06427651,-0.00141151,-0.00030654,0.01841248,2000
2013-02-01,0.00554469,-0.00011283,-0.05832337,0.00167201,0.00076557,0.02883625,2000
2013-02-04,-0.00277727,-0.00051198,-0.02928575,-0.00179173,-0.00108317,0.08056527,2000
2013-02-05,0.00366321,-0.00000392,-0.03361204,0.00104768,0.00046775,0.02379026,2000
2013-02-06,-0.00347847,0.00000866,0.03864916,-0.00081913,-0.00042438,0.01666194,2000
2013-02-07,-0.00050958,0.00016181,-0.02775275,0.00029437,0.00030369,0.00331501,2000
2013-02-08,0.00097126,0.00003910,-0.04315424,0.00055418,0.00014459,0.00829522,2000
2013-02-11,-0.00020887,-0.00000759,-0.03115023,0.00020024,-0.00036408,0.00919830,2000
2013-02-12,0.00184798,-0.00041658,-0.00121957,0.00025966,0.00018804,0.00315648,2000
2013-02-13,-0.00034162,0.00043409,-0.02725688,0.00150982,0.00000447,0.00737982,2000
2013-02-14,-0.00185187,-0.00010586,0.00027563,0.00134596,-0.00050276,0.00773519,2000
2013-02-15,-0.00112110,0.00057312,0.01974614,0.00057885,-0.00024250,0.00562200,2000
2013-02-18,0.00389915,0.00031829,-0.00000702,-0.00129945,0.00413534,1.00000000,4
2013-02-19,0.00344715,-0.00071735,-0.02608629,-0.00074515,0.00030418,0.00684702,2000
2013-02-20,-0.00203456,0.00037689,0.03582953,-0.00061656,-0.00049785,0.00682151,2000
2013-02-21,-0.00171107,-0.00019088,0.01234236,-0.00049720,-0.00070222,0.01118684,2000
2013-02-22,0.00586613,-0.00043543,-0.05545905,0.00253006,0.00036329,0.06904309,2000
2013-02-25,0.00636253,-0.00092635,-0.00661847,0.00105392,0.00059798,0.01067682,2000
2013-02-26,0.00161099,-0.00005921,-0.09331954,0.00079103,0.00030165,0.03012008,2000
2013-02-27,-0.00091153,0.00015465,-0.02832872,0.00001423,-0.00008825,0.00387435,2000
2013-02-28,-0.00156445,0.00040908,-0.03450655,-0.00113276,0.00004483,0.00832557,2000
2013-03-01,-0.00820728,0.00101494,-0.03362500,-0.00396503,-0.00041071,0.03726552,2000
2013-03-04,-0.00188742,-0.00006483,-0.01081808,-0.00021846,-0.00004032,0.00058567,2000
2013-03-05,0.00480804,-0.00006239,-0.00453190,0.00259859,0.00056300,0.06449648,2000
2013-03-06,0.00376714,-0.00036905,0.03565390,0.00131692,0.00054936,0.02746596,2000
2013-03-07,0.00056884,-0.00003975,0.04968221,0.00096074,0.00043601,0.02132335,2000
2013-03-08,0.00486593,-0.00012103,0.00523452,0.00387622,0.00037812,0.07333702,2000
2013-03-11,0.00067329,-0.00053648,-0.01811702,-0.00066684,-0.00006374,0.00940362,2000
2013-03-12,-0.00060550,-0.00001564,-0.01891478,0.00085123,0.00027758,0.01211543,2000
2013-03-13,-0.00196101,0.00042124,-0.01993959,0.00048284,-0.00001822,0.00428263,2000
2013-03-14,0.00180365,-0.00009297,0.01611655,0.00157565,0.00033860,0.03103853,2000
2013-03-15,-0.00161573,0.00011061,0.02494737,0.00142944,-0.00033565,0.01041103,2000
2013-03-18,-0.00650894,-0.00060840,-0.06441884,-0.00358657,-0.00076790,0.12580220,2000
2013-03-19,-0.00170618,0.00087881,0.00391280,0.00086034,-0.00010624,0.00232552,2000
2013-03-20,0.00223256,0.00063515,0.01638129,0.00184676,0.00028448,0.02353106,2000
2013-03-21,-0.00130369,-0.00078147,-0.01109472,-0.00162955,-0.00041921,0.03807822,2000
2013-03-22,-0.00000084,0.00069825,-0.04105103,0.00086566,0.00019956,0.03242413,2000
2013-03-25,0.00169340,0.00033040,0.03848607,0.00171874,0.00007817,0.02442214,2000
2013-03-26,0.00068769,0.00070326,0.02644087,0.00206796,0.00006976,0.02548399,2000
