average loss = -1.9890657381022518
reference cumulative return = 0.3356411408383593
max drawdown = 0.10467109349132564
average win = 0.011593996625721702
average_t_stats = [48.783941327223495, 101.71487705094904, 2.5893043060226368, 106.39922563323648, 175.15887407809882]
max consecutive wins = 14
winning days = 623
losing days = 378
information ratio = 0.1718929452933692
win rate = 0.6223776223776224
profit factor = -0.009606833852837088
sharpe ratio = 2.7287159122361135
max daily drawdown = -0.10467109349132564
total days = 1001
daily return stdev = 0.017115980039510943
max consecutive losses = 7
average daily return = 0.0029421162205740536
max daily return = 0.13048791605089294
cumulative return = 17.929744417143127
total transaction fee = 2778265.607953909

Date	Gain%	Val	Ref_value	Daily_fee
2013-01-29	-2.55%	9745112	10341187	2533
2013-01-30	-0.16%	9729690	10437007	1074
2013-01-31	-0.23%	9707375	10466700	304
2013-02-01	1.03%	9807666	10494250	297
2013-02-04	1.02%	9907360	10442566	302
2013-02-05	0.24%	9931212	10479994	286
2013-02-06	1.41%	10070761	10539964	303
2013-02-07	3.17%	10389897	10516823	368
2013-02-08	0.87%	10479999	10549958	324
2013-02-11	2.83%	10776679	10544992	356
2013-02-12	-0.21%	10753659	10579768	331
2013-02-13	-1.54%	10587555	10584016	342
2013-02-14	-0.63%	10520451	10615248	301
2013-02-15	2.34%	10766948	10586023	394
2013-02-18	2.80%	11068672	10695674	663
2013-02-19	2.46%	11341493	10747068	337
2013-02-20	-0.02%	11339584	10595016	391
2013-02-21	-1.09%	11215535	10535925	341
2013-02-22	-0.13%	11201473	10573566	374
2013-02-25	2.47%	11478131	10373566	348
2013-02-26	1.63%	11664843	10386894	358
2013-02-27	-1.07%	11540060	10492458	411
2013-02-28	2.75%	11857641	10498839	394
2013-03-01	2.79%	12187990	10560604	413
2013-03-04	-0.38%	12141965	10593916	433
2013-03-05	0.12%	12156338	10628884	393
2013-03-06	1.87%	12384084	10631081	424
2013-03-07	-0.85%	12278844	10658147	406
2013-03-08	1.53%	12466264	10674397	372
2013-03-11	0.62%	12544022	10695574	446
2013-03-12	-0.03%	12540270	10681291	418
2013-03-13	1.04%	12670261	10685894	391
2013-03-14	0.60%	12745902	10722333	411
2013-03-15	-0.21%	12719718	10718323	396
2013-03-18	0.54%	12788699	10778779	433
2013-03-19	8.27%	13846812	10729213	508
2013-03-20	-0.24%	13813000	10760744	440
2013-03-21	1.45%	14013599	10747603	417
2013-03-22	0.29%	14054241	10752333	473
2013-03-25	0.67%	14148967	10699746	459
2013-03-26	2.28%	14471304	10719257	483
2013-03-27	2.02%	14763766	10779857	452
2013-03-28	0.54%	14844164	10801934	515
2013-03-29	-1.20%	14666681	10801934	2453
2013-04-01	0.88%	14796227	10722170	497
2013-04-02	0.25%	14832995	10665982	489
2013-04-03	0.44%	14898211	10522700	495
2013-04-04	0.10%	14912733	10557315	506
2013-04-05	1.53%	15141101	10667323	508
2013-04-08	0.62%	15235559	10725325	567
2013-04-09	-1.12%	15064908	10738098	549
2013-04-10	0.53%	15144011	10824508	485
2013-04-11	-0.15%	15121777	10847280	538
2013-04-12	-1.22%	14937724	10835933	484
2013-04-15	-0.46%	14868634	10590306	553
2013-04-16	2.31%	15211779	10644325	540
2013-04-17	-0.52%	15132615	10554181	437
2013-04-18	0.32%	15181036	10507854	455
2013-04-19	0.70%	15287006	10566491	443
2013-04-22	1.06%	15448330	10577416	473
2013-04-23	1.20%	15633763	10641186	459
2013-04-24	-0.20%	15601898	10690973	436
2013-04-25	1.35%	15812379	10711329	458
2013-04-26	0.94%	15961419	10684386	471
2013-04-29	0.16%	15987063	10717923	512
2013-04-30	0.22%	16022603	10772910	497
2013-05-01	0.75%	16142766	10664373	497
2013-05-02	-0.08%	16130354	10726348	511
2013-05-03	0.53%	16216223	10760881	502
2013-05-06	0.61%	16314780	10795453	532
2013-05-07	-0.67%	16204899	10842964	521
2013-05-08	0.06%	16214900	10896344	546
2013-05-09	0.59%	16310017	10861979	520
2013-05-10	1.30%	16522192	10906548	576
2013-05-13	0.39%	16585971	10893045	582
2013-05-14	0.80%	16718049	10968367	524
2013-05-15	1.09%	16900987	11012976	601
2013-05-16	0.66%	17011797	10989791	565
2013-05-17	-0.53%	16922089	11043145	615
2013-05-20	-1.64%	16644365	11096908	619
2013-05-21	1.54%	16900564	11109314	678
