profit factor = -0.0670594927869
winning days = 774
average win = 0.0291382829665
sharpe ratio = 9.66092458073
max consecutive wins = 35
cumulative return = 81695731.0179
max consecutive losses = 4
information ratio = 0.608581044656
total days = 944
average loss = -1.97831631014
max daily return = 0.243717722594
reference cumulative return = 0.27604165477134646
average daily return = 0.019486706308
win rate = 0.8199152542372882
max daily drawdown = -0.191209997944
average_t_stats = [43.21330426009547, 83.347187143808696, 4.9922791108517108, 50.315709187191572, 156.67458864506122]
daily return stdev = 0.03201990347733949
max drawdown = 0.191209997944
total transaction fee = 0
losing days = 170

Date	Gain%	Val	Ref_value	Daily_fee
2013-01-30	1.08896%	10108895.78103	9914996.96418	0.00000
2013-01-31	2.33667%	10345107.07359	9978334.68317	0.00000
2013-02-01	1.51580%	10501918.51525	10027348.51605	0.00000
2013-02-04	2.77246%	10793079.77093	9967049.15233	0.00000
2013-02-05	1.22913%	10925740.51336	10013727.33032	0.00000
2013-02-06	3.14886%	11269777.26231	10078657.97715	0.00000
2013-02-07	2.05836%	11501749.45993	10056809.22576	0.00000
2013-02-08	2.27241%	11763116.30336	10101515.62176	0.00000
2013-02-11	3.35694%	12157997.23350	10114933.32807	0.00000
2013-02-12	2.63823%	12478753.12286	10154923.57642	0.00000
2013-02-13	6.97435%	13349065.29176	10158843.50204	0.00000
2013-02-14	0.94093%	13474670.76204	10194119.66062	0.00000
2013-02-15	2.80613%	13852787.48240	10159303.32592	0.00000
2013-02-19	-3.94609%	13306144.41616	10252527.05195	0.00000
2013-02-20	3.30064%	13745332.09771	10121389.53648	0.00000
2013-02-21	1.62517%	13968716.92653	10069686.90055	0.00000
2013-02-22	4.05241%	14534787.25558	10112132.38852	0.00000
2013-02-25	2.88939%	14954753.84844	9942630.09714	0.00000
2013-02-26	2.37072%	15309289.05899	9944573.19383	0.00000
2013-02-27	1.94885%	15607644.31191	10007436.43987	0.00000
2013-02-28	0.87174%	15743702.83637	10027962.40877	0.00000
2013-03-01	5.32825%	16582566.46714	10120551.01000	0.00000
2013-03-04	4.44025%	17318873.28428	10171158.75592	0.00000
2013-03-05	2.58708%	17766927.09859	10209919.95750	0.00000
2013-03-06	4.61992%	18587744.09628	10227983.09874	0.00000
2013-03-07	2.20005%	18996684.55896	10278725.01864	0.00000
2013-03-08	2.07162%	19390224.28803	10303630.28867	0.00000
2013-03-11	7.44927%	20834655.25527	10338906.13730	0.00000
2013-03-12	5.98930%	22082505.67430	10342266.16905	0.00000
2013-03-13	8.70121%	24003950.82347	10361579.09450	0.00000
2013-03-14	5.03948%	25213625.79925	10407211.09006	0.00000
2013-03-15	2.26124%	25783765.78192	10394215.43883	0.00000
2013-03-18	5.84913%	27291891.90941	10438484.77302	0.00000
2013-03-19	-0.90242%	27045603.85466	10399643.01997	0.00000
2013-03-20	5.20805%	28454152.52546	10422873.62690	0.00000
2013-03-21	1.84014%	28977749.15639	10420842.84134	0.00000
2013-03-22	2.50560%	29703814.42464	10434196.77816	0.00000
2013-03-25	1.19154%	30057746.21247	10404593.45084	0.00000
2013-03-26	1.80098%	30599079.22400	10401423.63848	0.00000
2013-03-27	1.01406%	30909371.92167	10455393.06988	0.00000
2013-03-28	8.42118%	33512305.72459	10477393.60464	0.00000
2013-04-01	3.09941%	34550990.35852	10393925.33017	0.00000
2013-04-02	2.77324%	35509173.29572	10340690.85139	0.00000
2013-04-03	4.32998%	37046714.44029	10213241.48975	0.00000
2013-04-04	4.19583%	38601130.25289	10245569.71201	0.00000
2013-04-05	0.81863%	38917131.24835	10341986.74151	0.00000
2013-04-08	2.04212%	39711864.56957	10358833.43435	0.00000
2013-04-09	3.34681%	41040946.43242	10360847.03738	0.00000
2013-04-10	1.49353%	41653907.02602	10486795.81412	0.00000
2013-04-11	2.13909%	42544920.46347	10500557.68753	0.00000
2013-04-12	-4.61247%	40582547.23391	10515905.32584	0.00000
2013-04-15	3.63744%	42058714.47974	10281845.71952	0.00000
2013-04-16	2.27291%	43014670.30398	10342767.87130	0.00000
2013-04-17	3.01687%	44312366.02170	10256261.25546	0.00000
2013-04-18	4.37867%	46252660.39788	10211241.01672	0.00000
2013-04-19	2.75955%	47529024.94084	10286907.32980	0.00000
2013-04-22	3.04555%	48976544.78011	10288229.86220	0.00000
2013-04-23	-2.39429%	47803905.74850	10357966.04823	0.00000
2013-04-24	7.29720%	51292253.34047	10390657.85919	0.00000
2013-04-25	2.27424%	52458764.79002	10431319.68894	0.00000
2013-04-26	3.21506%	54145344.94151	10426960.83303	0.00000
