win rate = 0.8199152542372882
max daily return = 0.24215860476855822
average win = 0.02945605963759371
losing days = 170
reference cumulative return = 0.27604165477134734
max daily drawdown = -0.19192199774717544
total days = 944
max consecutive wins = 35
daily return stdev = 0.032131409284304455
max consecutive losses = 4
average_t_stats = [43.216896604244482, 83.349095554065102, 4.9921935853569082, 50.316036771418318, 156.67021092934567]
cumulative return = 98136036.61165214
information ratio = 0.6126323319448571
average daily return = 0.01968474019851807
profit factor = -0.0678019920395554
average loss = -1.977990657595038
total transaction fee = 4007388343673.145
winning days = 774
max drawdown = 0.19192199774717544
sharpe ratio = 9.72523677266198

Date	Gain%	Val	Ref_value	Daily_fee
2013-01-30	0.31%	10030525	9914997	1592
2013-01-31	2.19%	10250615	9978335	704
2013-02-01	1.41%	10395338	10027349	1083
2013-02-04	2.55%	10660316	9967049	1083
2013-02-05	1.49%	10819006	10013727	1291
2013-02-06	4.35%	11289946	10078658	2289
2013-02-07	1.63%	11474385	10056809	1719
2013-02-08	2.19%	11725237	10101516	1033
2013-02-11	6.82%	12524442	10114933	5561
2013-02-12	3.64%	12980903	10154924	2283
2013-02-13	11.10%	14422190	10158844	7577
2013-02-14	-1.29%	14236726	10194120	4440
2013-02-15	-1.06%	14085195	10159303	7865
2013-02-19	-3.96%	13526859	10252527	1348
2013-02-20	3.63%	14018499	10121390	1451
2013-02-21	1.99%	14296879	10069687	1821
2013-02-22	4.11%	14885082	10112132	1103
2013-02-25	3.14%	15352451	9942630	1727
2013-02-26	2.51%	15737670	9944573	1557
2013-02-27	2.00%	16053015	10007436	1648
2013-02-28	0.91%	16199719	10027962	1241
2013-03-01	5.64%	17113959	10120551	1411
2013-03-04	4.35%	17857861	10171159	1475
2013-03-05	3.10%	18410604	10209920	1897
2013-03-06	4.29%	19199860	10227983	1694
2013-03-07	1.97%	19577951	10278725	2017
2013-03-08	2.14%	19997287	10303630	1425
2013-03-11	7.70%	21537673	10338906	1831
2013-03-12	6.47%	22930881	10342266	2619
2013-03-13	8.31%	24836841	10361579	2460
2013-03-14	5.11%	26106395	10407211	3629
2013-03-15	2.21%	26682087	10394215	2247
2013-03-18	6.19%	28334521	10438485	3300
2013-03-19	-0.77%	28115706	10399643	2217
2013-03-20	5.13%	29559332	10422874	3166
2013-03-21	2.11%	30183995	10420843	3352
2013-03-22	2.48%	30931060	10434197	3052
2013-03-25	1.37%	31353308	10404593	3703
2013-03-26	1.99%	31978015	10401424	3355
2013-03-27	0.92%	32273710	10455393	3464
2013-03-28	7.86%	34810293	10477394	5112
2013-04-01	2.97%	35844174	10393925	4459
2013-04-02	2.74%	36826577	10340691	4001
2013-04-03	4.43%	38456886	10213241	2363
2013-04-04	4.15%	40051875	10245570	3519
2013-04-05	0.76%	40357991	10341987	2961
2013-04-08	2.18%	41238702	10358833	3877
2013-04-09	3.05%	42498064	10360847	4041
2013-04-10	1.49%	43132384	10486796	4149
2013-04-11	2.11%	44041243	10500558	4440
2013-04-12	-4.44%	42084325	10515905	3731
2013-04-15	3.43%	43527483	10281846	4001
2013-04-16	2.43%	44585581	10342768	3449
2013-04-17	3.22%	46019499	10256261	5852
2013-04-18	4.39%	48040740	10211241	4400
2013-04-19	2.02%	49009973	10286907	7505
2013-04-22	3.38%	50667877	10288230	5814
2013-04-23	-2.21%	49547901	10357966	4311
2013-04-24	7.36%	53196912	10390658	4259
2013-04-25	2.23%	54382082	10431320	4806
2013-04-26	3.21%	56125768	10426961	2958
2013-04-29	5.38%	59144860	10464239	4630
2013-04-30	-0.42%	58896885	10508203	4771
2013-05-01	1.48%	59769211	10372106	13553
2013-05-02	3.36%	61775815	10458986	4445
2013-05-03	5.10%	64926465	10513486	6689
2013-05-06	0.79%	65436517	10559956	6106
2013-05-07	1.13%	66177963	10586618	5146
2013-05-08	2.35%	67733836	10630116	5152
2013-05-09	0.51%	68079491	10616931	5901
